pos_data(lat=-25.745331699999998, long=28.247574699999998, heading=293.16617, speed=1.59)
pos_data(lat=-25.7453312, long=28.247573199999998, heading=292.32352000000003, speed=1.51)
pos_data(lat=-25.7453307, long=28.2475718, heading=291.01854000000003, speed=1.51)
pos_data(lat=-25.7453301, long=28.2475703, heading=292.93285000000003, speed=1.55)
pos_data(lat=-25.745329299999998, long=28.247567399999998, heading=287.9734, speed=1.5)
pos_data(lat=-25.7453288, long=28.247565899999998, heading=289.44902, speed=1.55)
pos_data(lat=-25.7453285, long=28.2475645, heading=286.54510000000005, speed=1.46)
pos_data(lat=-25.7453282, long=28.2475629, heading=283.57101, speed=1.52)
pos_data(lat=-25.7453279, long=28.2475614, heading=283.97113, speed=1.53)
pos_data(lat=-25.745327699999997, long=28.2475599, heading=281.91598000000005, speed=1.51)
pos_data(lat=-25.7453275, long=28.2475584, heading=279.86367, speed=1.52)
pos_data(lat=-25.7453273, long=28.2475569, heading=280.19939000000005, speed=1.53)
pos_data(lat=-25.745327099999997, long=28.2475554, heading=279.16994, speed=1.47)
pos_data(lat=-25.7453269, long=28.2475539, heading=278.06662, speed=1.47)
pos_data(lat=-25.7453269, long=28.2475524, heading=275.19777000000005, speed=1.47)
pos_data(lat=-25.745326799999997, long=28.2475509, heading=274.98547, speed=1.45)
pos_data(lat=-25.7453267, long=28.2475494, heading=273.28846000000004, speed=1.48)
pos_data(lat=-25.7453267, long=28.247547899999997, heading=272.39759000000004, speed=1.49)
pos_data(lat=-25.7453267, long=28.247546399999997, heading=270.75594, speed=1.47)
pos_data(lat=-25.7453267, long=28.247544899999998, heading=271.04354, speed=1.44)
pos_data(lat=-25.7453269, long=28.247541899999998, heading=267.8913, speed=1.48)
pos_data(lat=-25.7453269, long=28.2475404, heading=266.97193000000004, speed=1.48)
pos_data(lat=-25.745327099999997, long=28.2475389, heading=264.49304, speed=1.44)
pos_data(lat=-25.7453273, long=28.2475374, heading=263.96648000000005, speed=1.49)
pos_data(lat=-25.745327399999997, long=28.2475359, heading=264.09847, speed=1.5)
pos_data(lat=-25.745327699999997, long=28.2475344, heading=260.62649000000005, speed=1.49)
pos_data(lat=-25.7453279, long=28.2475329, heading=261.03887000000003, speed=1.53)
pos_data(lat=-25.7453282, long=28.2475314, heading=260.53314, speed=1.49)
pos_data(lat=-25.7453285, long=28.2475299, heading=258.08774, speed=1.52)
pos_data(lat=-25.7453288, long=28.247528499999998, heading=258.19388000000004, speed=1.43)
pos_data(lat=-25.7453291, long=28.247526999999998, heading=256.12759, speed=1.48)
pos_data(lat=-25.7453294, long=28.2475256, heading=255.67592000000002, speed=1.49)
pos_data(lat=-25.7453298, long=28.2475241, heading=255.22045000000003, speed=1.46)
pos_data(lat=-25.7453303, long=28.247522699999998, heading=252.48182000000003, speed=1.47)
pos_data(lat=-25.7453313, long=28.2475199, heading=250.58882000000003, speed=1.51)
pos_data(lat=-25.7453318, long=28.247518499999998, heading=249.75669000000002, speed=1.44)
pos_data(lat=-25.745332299999998, long=28.2475171, heading=247.93016000000003, speed=1.53)
pos_data(lat=-25.745332899999998, long=28.247515699999997, heading=246.72545000000002, speed=1.49)
pos_data(lat=-25.7453334, long=28.2475144, heading=246.42211000000003, speed=1.42)
pos_data(lat=-25.745334099999997, long=28.247512999999998, heading=244.82258000000002, speed=1.53)
pos_data(lat=-25.745334699999997, long=28.2475117, heading=243.12810000000002, speed=1.47)
pos_data(lat=-25.7453354, long=28.2475104, heading=242.85612000000003, speed=1.5)
pos_data(lat=-25.7453361, long=28.2475091, heading=239.75270000000003, speed=1.48)
pos_data(lat=-25.745336899999998, long=28.247507799999998, heading=238.75560000000002, speed=1.5)
